http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010790.pub3/full|Blood disorders|Laser therapy for retinopathy in sickle cell disease|Kay Thi Myint, Soumendra Sahoo, Aung Win Thein, Soe Moe, Han Ni|2022-12-12
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010837.pub5/full|Cancer|Effect of testing for cancer on cancer‐ or venous thromboembolism (VTE)‐related mortality and morbidity in people with unprovoked VTE|Lindsay Robertson, Cathryn Broderick, Su Ern Yeoh, Gerard Stansby|2021-10-1
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007651.pub3/full|Cancer|School‐based physical activity programs for promoting physical activity and fitness in children and adolescents aged 6 to 18|Sarah E Neil-Sztramko, Hilary Caldwell, Maureen Dobbins|2021-9-23
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012998.pub2/full|Cancer|Roux‐en‐Y versus Billroth‐I reconstruction after distal gastrectomy for gastric cancer|Daisuke Nishizaki, Riki Ganeko, Nobuaki Hoshino, Koya Hida, Kazutaka Obama, Toshi A Furukawa, Yoshiharu Sakai, Norio Watanabe|2021-9-15
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013365.pub2/full|Cancer|Chimeric antigen receptor (CAR) T‐cell therapy for people with relapsed or refractory diffuse large B‐cell lymphoma|Moritz Ernst, Annika Oeser, Burcu Besiroglu, Julia Caro-Valenzuela, Mohamed Abd El Aziz, Ina Monsef, Peter Borchmann, Lise J Estcourt, Nicole Skoetz, Marius Goldkuhle|2021-9-13
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012814.pub2/full|Cancer|Postoperative adjuvant chemotherapy for resectable cholangiocarcinoma|Vor Luvira, Egapong Satitkarnmanee, Ake Pugkhem, Chumnan Kietpeerakool, Pisake Lumbiganon, Porjai Pattanittum|2021-9-13
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD002834.pub3/full|Cancer|Interventions targeted at women to encourage the uptake of cervical screening|Helen Staley, Aslam Shiraz, Norman Shreeve, Andrew Bryant, Pierre PL Martin-Hirsch, Ketankumar Gajjar|2021-9-6
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011406.pub2/full|Cancer|High‐dose chemotherapy followed by autologous haematopoietic cell transplantation for children, adolescents, and young adults with first recurrence of Ewing sarcoma|Lianne M Haveman, Roelof van Ewijk, Elvira C van Dalen, Willemijn B Breunis, Leontien CM Kremer, Henk van den Berg, Uta Dirksen, Johannes HM Merks|2021-9-2
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011405.pub2/full|Cancer|High‐dose chemotherapy followed by autologous haematopoietic cell transplantation for children, adolescents, and young adults with primary metastatic Ewing sarcoma|Lianne M Haveman, Roelof van Ewijk, Elvira C van Dalen, Willemijn B Breunis, Leontien CM Kremer, Henk van den Berg, Uta Dirksen, Johannes HM Merks|2021-9-2
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007077.pub4/full|Cancer|Partial breast irradiation versus whole breast radiotherapy for early breast cancer|Brigid E Hickey, Margot Lehman|2021-8-30
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013677.pub2/full|Cancer|Posterior musculofascial reconstruction in robotic‐assisted laparoscopic prostatectomy for the treatment of clinically localized prostate cancer|Joel E Rosenberg, Jae Hung Jung, Hunju Lee, Solam Lee, Caitlin Bakker, Philipp Dahm|2021-8-8
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011108.pub3/full|Cancer|Hydromorphone for cancer pain|Yan Li, Jun Ma, Guijun Lu, Zhi Dou, Roger Knaggs, Jun Xia, Sai Zhao, Sitong Dong, Liqiang Yang|2021-8-5
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012548.pub2/full|Cancer|Degarelix for treating advanced hormone‐sensitive prostate cancer|Friedemann Zengerling, Joachim J Jakob, Stefanie Schmidt, Joerg J Meerpohl, Anette Blümle, Christine Schmucker, Benjamin Mayer, Frank Kunath|2021-8-5
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012924.pub2/full|Cancer|Physical therapy interventions, other than general physical exercise interventions, in children and adolescents before, during and following treatment for cancer|Paula A Ospina, Alyssa McComb, Lesley E Pritchard-Wiart, David D Eisenstat, Margaret L McNeely|2021-8-3
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD005343.pub6/full|Cancer|Neoadjuvant chemotherapy before surgery versus surgery followed by chemotherapy for initial treatment in advanced ovarian epithelial cancer|Sarah L Coleridge, Andrew Bryant, Sean Kehoe, Jo Morrison|2021-7-30
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010276.pub3/full|Cancer|Diagnostic tests for oral cancer and potentially malignant disorders in patients presenting with clinically evident lesions|Tanya Walsh, Richard Macey, Alexander R Kerr, Mark W Lingen, Graham R Ogden, Saman Warnakulasuriya|2021-7-20
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013224.pub2/full|Cancer|Protons versus photons for the treatment of chordoma|Iman El Sayed, Daniel M Trifiletti, Eric J Lehrer, Timothy N Showalter, Sunil W Dutta|2021-7-1
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009294.pub3/full|Cancer|Intravesical gemcitabine for non‐muscle invasive bladder cancer|Mi Ah Han, Philipp Maisch, Jae Hung Jung, Jun Eul Hwang, Vikram Narayan, Anne Cleves, Eu Chang Hwang, Philipp Dahm|2021-6-14
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013021.pub2/full|Cancer|Sentinel node biopsy for diagnosis of lymph node involvement in endometrial cancer|Hans Nagar, Nina Wietek, Richard J Goodall, Will Hughes, Mia Schmidt-Hansen, Jo Morrison|2021-6-9
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011220.pub2/full|Cancer|Capecitabine for hormone receptor‐positive versus hormone receptor‐negative breast cancer|Siao-Nge Hoon, Peter K H Lau, Alison M White, Max K Bulsara, Patricia D Banks, Andrew D Redfern|2021-5-26
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013257.pub3/full|Cancer|Single or combined immune checkpoint inhibitors compared to first‐line platinum‐based chemotherapy with or without bevacizumab for people with advanced non‐small cell lung cancer|Roberto Ferrara, Martina Imbimbo, Reem Malouf, Sophie Paget-Bailly, François Calais, Corynne Marchal, Virginie Westeel|2021-4-30
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011395.pub2/full|Cancer|PARP (Poly ADP‐Ribose Polymerase) inhibitors for locally advanced or metastatic breast cancer|Amelia M Taylor, David Lok Hang Chan, Martin Tio, Sujata M Patil, Tiffany A Traina, Mark E Robson, Mustafa Khasraw|2021-4-22
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013346.pub2/full|Cancer|Abdominal ultrasound and alpha‐foetoprotein for the diagnosis of hepatocellular carcinoma in adults with chronic liver disease|Agostino Colli, Tin Nadarevic, Damir Miletic, Vanja Giljaca, Mirella Fraquelli, Davor Štimac, Giovanni Casazza|2021-4-15
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010383.pub3/full|Cancer|First‐line treatment of advanced epidermal growth factor receptor (EGFR) mutation positive non‐squamous non‐small cell lung cancer|Janette Greenhalgh, Angela Boland, Victoria Bates, Fabio Vecchio, Yenal Dundar, Marty Chaplin, John A Green|2021-3-18
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010804.pub3/full|Cancer|Exercise for cancer cachexia in adults|Antonio Jose Grande, Valter Silva, Larissa Sawaris Neto, João Pedro Teixeira Basmage, Maria S Peccin, Matthew Maddocks|2021-3-18
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009231.pub3/full|Cancer|Hospital at home: home‐based end‐of‐life care|Sasha Shepperd, Daniela C Gonçalves-Bradley, Sharon E Straus, Bee Wee|2021-3-15
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013316.pub2/full|Cancer|Prognostic value of test(s) for O6‐methylguanine–DNA methyltransferase (MGMT) promoter methylation for predicting overall survival in people with glioblastoma treated with temozolomide|Alexandra McAleenan, Claire Kelly, Francesca Spiga, Ashleigh Kernohan, Hung-Yuan Cheng, Sarah Dawson, Lena Schmidt, Tomos Robinson, Sebastian Brandner, Claire L Faulkner, Christopher Wragg, Sarah Jefferies, Amy Howell, Luke Vale, Julian P T Higgins, Kathreena M Kurian|2021-3-12
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013348.pub2/full|Cancer|Vascular endothelial growth factor (VEGF) targeting therapy for persistent, recurrent, or metastatic cervical cancer|Yunhai Chuai, Ivana Rizzuto, Xia Zhang, Ying Li, Guanghai Dai, Sophie J Otter, Rasiah Bharathan, Alexandra Stewart, Aiming Wang|2021-3-4
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012968.pub2/full|Cancer|Paravertebral anaesthesia with or without sedation versus general anaesthesia for women undergoing breast cancer surgery|Anjolie Chhabra, Apala Roy Chowdhury, Hemanshu Prabhakar, Rajeshwari Subramaniam, Mahesh Kumar Arora, Anurag Srivastava, Mani Kalaivani|2021-2-25
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD005634.pub3/full|Cancer|Specialist breast care nurses for support of women with breast cancer|Tamara Brown, Susanne Cruickshank, Maria Noblet|2021-2-3
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009497.pub3/full|Cancer|Electrocoagulation for liver metastases|Dawid Storman, Mateusz J Swierz, Robert P Riemsma, Robert Wolff, Jerzy W Mitus, Michal Pedziwiatr, Jos Kleijnen, Malgorzata M Bala|2021-1-28
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012863.pub2/full|Cancer|Postoperative interventions for preventing bladder dysfunction after radical hysterectomy in women with early‐stage cervical cancer|Apiwat Aue-aungkul, Chumnan Kietpeerakool, Siwanon Rattanakanokchai, Khadra Galaal, Teerayut Temtanakitpaisan, Chetta Ngamjarus, Pisake Lumbiganon|2021-1-25
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011490.pub2/full|Cancer|Extended lymph node resection versus standard resection for pancreatic and periampullary adenocarcinoma|Ralph F Staerkle, Raphael Nicolas Vuille-dit-Bille, Christopher Soll, Rebekka Troller, Jaswinder Samra, Milo A Puhan, Stefan Breitenstein|2021-1-20
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013579.pub2/full|Cancer|Treatment options for progression or recurrence of glioblastoma: a network meta‐analysis|Catherine McBain, Theresa A Lawrie, Ewelina Rogozińska, Ashleigh Kernohan, Tomos Robinson, Sarah Jefferies|2021-1-5
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013630.pub2/full|Cancer|Intraoperative imaging technology to maximise extent of resection for glioma: a network meta‐analysis|Daniel M Fountain, Andrew Bryant, Damiano Giuseppe Barone, Mueez Waqar, Michael G Hart, Helen Bulbeck, Ashleigh Kernohan, Colin Watts, Michael D Jenkinson|2021-1-4
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007245.pub4/full|Cancer|Levonorgestrel intrauterine system for endometrial protection in women with breast cancer on adjuvant tamoxifen|Sally AD Romero, Katie Young, Martha Hickey, H Irene Su|2020-12-21
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013245.pub2/full|Cancer|Abiraterone acetate in combination with androgen deprivation therapy compared to androgen deprivation therapy only for metastatic hormone‐sensitive prostate cancer|Niranjan J Sathianathen, Makinna C Oestreich, Sarah Jane Brown, Shilpa Gupta, Badrinath R Konety, Philipp Dahm, Frank Kunath|2020-12-12
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012110.pub2/full|Cancer|Body weight management in overweight and obese breast cancer survivors|Hassan Shaikh, Peter Bradhurst, Li Xin Ma, Sim Yee (Cindy) Tan, Sam J Egger, Janette L Vardy|2020-12-11
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013020.pub2/full|Cancer|Bisphosphonates or RANK‐ligand‐inhibitors for men with prostate cancer and bone metastases: a network meta‐analysis|Tina Jakob, Yonas Mehari Tesfamariam, Sascha Macherey, Kathrin Kuhr, Anne Adams, Ina Monsef, Axel Heidenreich, Nicole Skoetz|2020-12-3
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012078.pub2/full|Cancer|Salvage systemic therapy for advanced gastric and oesophago‐gastric junction adenocarcinoma|Yoko Tomita, Max Moldovan, Rachael Chang Lee, Amy HC Hsieh, Amanda Townsend, Timothy Price|2020-11-19
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003412.pub3/full|Cancer|Interventions for basal cell carcinoma of the skin|Jason Thomson, Sarah Hogan, Jo Leonardi-Bee, Hywel C Williams, Fiona J Bath-Hextall|2020-11-17
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011313.pub4/full|Cancer|Yttrium‐90 microsphere radioembolisation for unresectable hepatocellular carcinoma|Omar Abdel-Rahman, Zeinab Elsayed|2020-11-16
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013750/full|Cancer|Platinum‐containing regimens for triple‐negative metastatic breast cancer|Sam J Egger, Matthew Ming Ki Chan, Qingwei Luo, Nicholas Wilcken|2020-10-21
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012796.pub2/full|Cancer|Targeted therapy for metastatic renal cell carcinoma|Fabian Hofmann, Eu Chang Hwang, Thomas BL Lam, Axel Bex, Yuhong Yuan, Lorenzo SO Marconi, Börje Ljungberg|2020-10-14
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013399.pub2/full|Cancer|Prophylaxis of thromboembolism during therapy with asparaginase in adults with acute lymphoblastic leukaemia|Cecilie U Rank, Line Stensig Lynggaard, Bodil Als-Nielsen, Wendy Stock, Nina Toft, Ove Juul Nielsen, Thomas Leth Frandsen, Ruta Tuckuviene, Kjeld Schmiegelow|2020-10-10
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012780.pub2/full|Cancer|The effectiveness and cost‐effectiveness of hospital‐based specialist palliative care for adults with advanced illness and their caregivers|Sabrina Bajwah, Adejoke O Oluyase, Deokhee Yi, Wei Gao, Catherine J Evans, Gunn Grande, Chris Todd, Massimo Costantini, Fliss E Murtagh, Irene J Higginson|2020-9-30
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013564.pub2/full|Cancer|Interventions to reduce the time to diagnosis of brain tumours|Robin Grant, Therese Dowswell, Eve Tomlinson, Paul M Brennan, Fiona M Walter, Yoav Ben-Shlomo, David William Hunt, Helen Bulbeck, Ashleigh Kernohan, Tomos Robinson, Theresa A Lawrie|2020-9-4
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013641.pub2/full|Cancer|Retzius‐sparing versus standard robotic‐assisted laparoscopic prostatectomy for the treatment of clinically localized prostate cancer.|Joel E Rosenberg, Jae Hung Jung, Zach Edgerton, Hunju Lee, Solam Lee, Caitlin J Bakker, Philipp Dahm|2020-8-18
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD001024.pub3/full|Cancer|Tamoxifen for hepatocellular carcinoma|Anna K Nowak, Michael Findlay, Gordana Culjak, Martin R Stockler|2020-8-3
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012022.pub2/full|Cancer|Prognostic models for newly‐diagnosed chronic lymphocytic leukaemia in adults: a systematic review and meta‐analysis|Nina Kreuzberger, Johanna AAG Damen, Marialena Trivella, Lise J Estcourt, Angela Aldin, Lisa Umlauff, Maria DLA Vazquez-Montes, Robert Wolff, Karel GM Moons, Ina Monsef, Farid Foroutan, Karl-Anton Kreuzer, Nicole Skoetz|2020-7-31
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009833.pub2/full|Cancer|(1→3)‐β‐D‐glucan testing for the detection of invasive fungal infections in immunocompromised or critically ill people|Sandra K White, Robert L Schmidt, Brandon S Walker, Kimberly E Hanson|2020-7-21
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD006932.pub4/full|Cancer|Pharmacological treatment of depression in people with a primary brain tumour|Zachary Beevers, Sana Hussain, Florien W Boele, Alasdair G Rooney|2020-7-17
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008946.pub3/full|Cancer|Interventions for mycosis fungoides|Arash Valipour, Manuel Jäger, Peggy Wu, Jochen Schmitt, Charles Bunch, Tobias Weberschock|2020-7-7
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD005583.pub3/full|Cancer|Helicobacter pylori eradication for the prevention of gastric neoplasia|Alexander C Ford, Yuhong Yuan, David Forman, Richard Hunt, Paul Moayyedi|2020-7-6
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD006590.pub3/full|Cancer|Radical prostatectomy versus deferred treatment for localised prostate cancer|Robin WM Vernooij, Michelle Lancee, Anne Cleves, Philipp Dahm, Chris H Bangma, Katja KH Aben|2020-6-4
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007568.pub2/full|Cancer|Telephone interventions for symptom management in adults with cancer|Emma Ream, Amanda Euesden Hughes, Anna Cox, Katy Skarparis, Alison Richardson, Vibe H Pedersen, Theresa Wiseman, Angus Forbes, Andrew Bryant|2020-6-2
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007334.pub5/full|Cancer|Surgery versus radical endotherapies for early cancer and high‐grade dysplasia in Barrett's oesophagus|Cathy Bennett, Susi Green, John DeCaestecker, Max Almond, Hugh Barr, Pradeep Bhandari, Krish Ragunath, Rajvinder Singh, Janusz Jankowski|2020-5-22
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011475.pub3/full|Cancer|External beam radiation dose escalation for high grade glioma|Luluel Khan, Hany Soliman, Arjun Sahgal, James Perry, Wei Xu, May N Tsao|2020-5-21
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012864.pub2/full|Cancer|Physical activity interventions for disease‐related physical and mental health during and following treatment in people with non‐advanced colorectal cancer|Maresa McGettigan, Chris R Cardwell, Marie M Cantwell, Mark A Tully|2020-5-3
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013280.pub2/full|Cancer|Indocyanine green angiography for preventing postoperative mastectomy skin flap necrosis in immediate breast reconstruction|Tim Pruimboom, Rutger M Schols, Sander MJ Van Kuijk, René RWJ Van der Hulst, Shan S Qiu|2020-4-22
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010529.pub3/full|Cancer|Interventions for the management of malignant pleural effusions: a network meta‐analysis|Alexandra Dipper, Hayley E Jones, Rahul Bhatnagar, Nancy J Preston, Nick Maskell, Amelia O Clive|2020-4-21
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013261.pub2/full|Cancer|Treatment of newly diagnosed glioblastoma in the elderly: a network meta‐analysis|Catherine Hanna, Theresa A Lawrie, Ewelina Rogozińska, Ashleigh Kernohan, Sarah Jefferies, Helen Bulbeck, Usama M Ali, Tomos Robinson, Robin Grant|2020-3-23
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010159.pub2/full|Cancer|Calcitonin testing for detection of medullary thyroid cancer in people with thyroid nodules|Hans HG Verbeek, Jan Willem B de Groot, Wim J Sluiter, Anneke C Muller Kobold, Edwin R van den Heuvel, John TM Plukker, Thera P Links|2020-3-16
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013253.pub2/full|Cancer|Health education interventions to promote early presentation and referral for women with symptoms of endometrial cancer|Chalong Cheewakriangkrai, Chumnan Kietpeerakool, Kittipat Charoenkwan, Porjai Pattanittum, Denny John, Apiwat Aue‐aungkul, Pisake Lumbiganon|2020-3-13
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009498.pub4/full|Cancer|Transarterial (chemo)embolisation versus no intervention or placebo for liver metastases|Mateusz J Swierz, Dawid Storman, Robert P Riemsma, Robert Wolff, Jerzy W Mitus, Michal Pedziwiatr, Jos Kleijnen, Malgorzata M Bala|2020-3-12
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013538/full|Cancer|Ovarian suppression for adjuvant treatment of hormone receptor‐positive early breast cancer|Kim Tam Bui, Melina L Willson, Shom Goel, Jane Beith, Annabel Goodwin|2020-3-6
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD002141.pub3/full|Cancer|Drugs for preventing lung cancer in healthy people|Marcela Cortés‐Jofré, José‐Ramón Rueda, Claudia Asenjo‐Lobos, Eva Madrid, Xavier Bonfill Cosp|2020-3-4
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012681.pub2/full|Cancer|Severe fatigue after treatment for childhood cancer|Sylvia van Deuren, Amilie Boonstra, Eline van Dulmen‐den Broeder, Nicole Blijlevens, Hans Knoop, Jacqueline Loonen|2020-3-3
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD005004.pub3/full|Cancer|Green tea (Camellia sinensis) for the prevention of cancer|Tommaso Filippini, Marcella Malavolti, Francesca Borrelli, Angelo A Izzo, Susan J Fairweather-Tait, Markus Horneber, Marco Vinceti|2020-3-2
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008717.pub3/full|Cancer|Percutaneous ethanol injection for liver metastases|Mateusz J Swierz, Dawid Storman, Robert P Riemsma, Robert Wolff, Jerzy W Mitus, Michal Pedziwiatr, Jos Kleijnen, Malgorzata M Bala|2020-2-4
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012988.pub2/full|Cancer|Exercise therapies for preventing or treating aromatase inhibitor‐induced musculoskeletal symptoms in early breast cancer|Kate E Roberts, Kirsty Rickett, Sophie Feng, Dimitrios Vagenas, Natasha E Woodward|2020-1-29
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012559.pub2/full|Cancer|Hormone replacement therapy after surgery for epithelial ovarian cancer|Nungrutai Saeaib, Krantarat Peeyananjarassri, Tippawan Liabsuetrakul, Rakchai Buhachat, Eva Myriokefalitaki|2020-1-28
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004770.pub3/full|Cancer|Drug therapy for delirium in terminally ill adults|Anne M Finucane, Louise Jones, Baptiste Leurent, Elizabeth L Sampson, Patrick Stone, Adrian Tookman, Bridget Candy|2020-1-21
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010885.pub5/full|Cancer|Different infusion durations for preventing platinum‐induced hearing loss in children with cancer|Jorrit W van As, Henk van den Berg, Elvira C van Dalen|2020-1-21
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009229.pub3/full|Cancer|Early versus delayed postoperative radiotherapy for treatment of low‐grade gliomas|Sanjay Dhawan, Chirag G Patil, Clark Chen, Andrew S Venteicher|2020-1-20
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009256.pub3/full|Cancer|Cisplatin versus carboplatin in combination with third‐generation drugs for advanced non‐small cell lung cancer|Vitor F Vasconcellos, Guilherme N Marta, Edina MK da Silva, Aecio FT Gois, Tiago B de Castria, Rachel Riera|2020-1-13
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012643.pub3/full|Cancer|Interim PET‐results for prognosis in adults with Hodgkin lymphoma: a systematic review and meta‐analysis of prognostic factor studies|Angela Aldin, Lisa Umlauff, Lise J Estcourt, Gary Collins, Karel GM Moons, Andreas Engert, Carsten Kobe, Bastian von Tresckow, Madhuri Haque, Farid Foroutan, Nina Kreuzberger, Marialena Trivella, Nicole Skoetz|2020-1-13
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011935.pub2/full|Cancer|Intravesical Bacillus Calmette‐Guérin versus mitomycin C for Ta and T1 bladder cancer|Stefanie Schmidt, Frank Kunath, Bernadette Coles, Desiree Louise Draeger, Laura‐Maria Krabbe, Rick Dersch, Samuel Kilian, Katrin Jensen, Philipp Dahm, Joerg J Meerpohl|2020-1-8
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013137.pub2/full|Cancer|Interval brain imaging for adults with cerebral glioma|Gerard Thompson, Theresa A Lawrie, Ashleigh Kernohan, Michael D Jenkinson|2019-12-24
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007794.pub3/full|Cancer|Management of drainage for malignant ascites in gynaecological cancer|Chumnan Kietpeerakool, Siwanon Rattanakanokchai, Nampet Jampathong, Jatupol Srisomboon, Pisake Lumbiganon|2019-12-11
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011287.pub2/full|Cancer|Dietary interventions for adult cancer survivors|Sorrel Burden, Debra J Jones, Jana Sremanakova, Anne Marie Sowerbutts, Simon Lal, Mark Pilling, Chris Todd|2019-11-22
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013479/full|Cancer|Comparison of different human papillomavirus (HPV) vaccine types and dose schedules for prevention of HPV‐related disease in females and males|Hanna Bergman, Brian S Buckley, Gemma Villanueva, Jennifer Petkovic, Chantelle Garritty, Vittoria Lutje, Alina Ximena Riveros‐Balta, Nicola Low, Nicholas Henschke|2019-11-22
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012425.pub2/full|Cancer|Follow‐up strategies following completion of primary cancer treatment in adult cancer survivors|Beverley L Høeg, Pernille E Bidstrup, Randi V Karlsen, Anne Sofie Friberg, Vanna Albieri, Susanne O Dalton, Lena Saltbæk, Klaus Kaae Andersen, Trine Allerslev Horsboel, Christoffer Johansen|2019-11-21
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011559.pub2/full|Cancer|Interventions for preventing osteoradionecrosis of the jaws in adults receiving head and neck radiotherapy|Mohamed El‐Rabbany, Michael Duchnay, Hamid Reza Raziee, Maria Zych, Howard Tenenbaum, Prakeshkumar S Shah, Amir Azarpazhooh|2019-11-20
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012894.pub2/full|Cancer|Interventions to improve psychosocial well‐being in female BRCA‐mutation carriers following risk‐reducing surgery|Lisa Jeffers, Joanne Reid, Donna Fitzsimons, Patrick J Morrison, Martin Dempster|2019-10-9
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012160.pub2/full|Cancer|PI3K/AKT/mTOR inhibitors for advanced or recurrent endometrial cancer|Felicia Roncolato, Kristina Lindemann, Melina L Willson, Julie Martyn, Linda Mileshkin|2019-10-7
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD005360.pub5/full|Cancer|Prophylactic antibiotics to prevent surgical site infection after breast cancer surgery|Michael Gallagher, Daniel J Jones, Sophie V Bell‐Syer|2019-9-26
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD002200.pub4/full|Cancer|Follow‐up strategies for patients treated for non‐metastatic colorectal cancer|Mark Jeffery, Brigid E Hickey, Phillip N Hider|2019-9-4
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004421.pub3/full|Cancer|Taxanes for adjuvant treatment of early breast cancer|Melina L Willson, Lucinda Burke, Thomas Ferguson, Davina Ghersi, Anna K Nowak, Nicholas Wilcken|2019-9-2
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011462.pub2/full|Cancer|Hypofractionation for clinically localized prostate cancer|Brigid E Hickey, Melissa L James, Tiffany Daly, Feng‐Yi Soh, Mark Jeffery|2019-9-2
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004318.pub5/full|Cancer|Prolonged thromboprophylaxis with low molecular weight heparin for abdominal or pelvic surgery|Seth Felder, Morten Schnack Rasmussen, Ray King, Bradford Sklow, Mary Kwaan, Robert Madoff, Christine Jensen|2019-8-26
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013047.pub2/full|Cancer|Long‐term neurocognitive and other side effects of radiotherapy, with or without chemotherapy, for glioma|Theresa A Lawrie, David Gillespie, Therese Dowswell, Jonathan Evans, Sara Erridge, Luke Vale, Ashleigh Kernohan, Robin Grant|2019-8-5
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004080.pub4/full|Cancer|Early enteral nutrition within 24 hours of lower gastrointestinal surgery versus later commencement for length of hospital stay and postoperative complications|Georgia Herbert, Rachel Perry, Henning Keinke Andersen, Charlotte Atkinson, Christopher Penfold, Stephen J Lewis, Andrew R Ness, Steven Thomas|2019-7-22
